verb,0 или 1
сообщать,0
сообщить,0
принять,1
задержать,1
провести,0
пройти,0
писать,0
начать,0
считать,0
погибнуть,1
сделать,0
найти,0
появиться,0
отказаться,1
признать,0
удаться,1
создать,0
решить,0
предложить,0
начаться,0
добавить,0
использовать,0
проходить,0
подозревать,0
запретить,1
утверждать,0
подписать,0
пытаться,0
пострадать,1
хотеть,0
обвинять,1
написать,0
вести,0
арестовать,1
проводить,0
принимать,0
выпустить,1
пояснить,0
обвинить,1
позволить,0
требовать,1
стоить,0
прийтись,0
упасть,1
представлять,0
потребовать,1
призвать,0
достигнуть,1
пообещать,0
построить,0
помочь,1
организовать,0
приговорить,1
попросить,0
объяснить,0
следовать,0
осудить,1
выиграть,1
скончаться,1
предлагать,0
делать,0
позволять,0
поддержать,1
прекратить,0
продолжаться,0
продолжать,0
завершиться,0
увеличить,0
похитить,1
освободить,1
запустить,0
нападать,1
попытаться,0
согласиться,1
привлечь,0
основать,1
поддерживать,1
захватить,1
видеть,0
продолжить,0
разрешить,0
устроить,0
одобрить,1
увеличиться,0
потерять,0
просить,0
оценить,0
допустить,0
возникнуть,0
прийти,0
превышать,0
грозить,0
прокомментировать,0
увидеть,0
победить,1
комментировать,0
снизиться,0
объединить,0
уничтожить,1
убить,1
превысить,0
сократить,0
договориться,1
утвердить,0
обязать,0
остановить,0
умереть,1
добиться,1
пользоваться,0
забить,0
снизить,0
обещать,0
вывести,0
потратить,0
надеяться,0
приостановить,0
рассчитывать,0
угрожать,1
судить,0
начинать,0
ждать,0
спасти,1
проиграть,1
закрыть,0
напасть,1
искать,0
вынудить,1
приходиться,0
произвести,0
застрелить,0
украсть,1
создавать,0
сократиться,0
бороться,1
отказываться,0
обыграть,0
ликвидировать,1
нарушить,1
родиться,0
помогать,1
приступить,0
повысить,0
закончиться,0
появляться,0
счесть,0
повредить,1
отказать,0
призывать,0
заблокировать,0
завоевать,1
предупредить,0
понять,0
достигать,1
сотрудничать,0
возобновить,0
рекомендовать,0
подорожать,1
выпускать,0
заставить,1
защитить,1
взорвать,1
сформировать,0
поймать,0
врезаться,1
понимать,0
оценивать,0
воспользоваться,0
способствовать,0
ударить,1
нарушать,0
потребоваться,0
отрицать,0
избить,1
протестовать,0
лишиться,1
производить,0
пожаловаться,0
опасаться,0
заподозрить,0
применить,0
отклонить,0
объяснять,0
бросить,0
строить,0
запрещать,0
последовать,0
перестать,0
разрушить,1
защищать,1
предпринять,0
обжаловать,0
закончить,0
обстрелять,1
забросить,0
перекрыть,0
загореться,0
опуститься,0
потерпеть,0
блокировать,0
добиваться,0
страдать,1
пригрозить,0
стрелять,1
посчитать,0
развивать,0
лидировать,1
раскритиковать,1
атаковать,1
обновить,0
отвергнуть,0
образоваться,0
изучить,0
предотвратить,1
помешать,0
решать,0
проникнуть,0
признавать,0
обрушиться,0
наказать,1
добавлять,0
присвоить,1
усилить,0
остановиться,0
чувствовать,0
применять,0
постановить,0
спровоцировать,0
требоваться,0
изучать,0
заказать,0
разыскивать,0
подарить,1
возникать,0
приходить,0
посоветовать,0
оправдать,1
прервать,0
устраивать,0
выстрелить,1
улучшить,1
сорвать,0
предупреждать,0
привлекать,0
инициировать,0
расстрелять,1
стремиться,0
исчезнуть,0
любить,1
решаться,0
изготовить,0
мешать,0
жаловаться,1
начинаться,0
ограбить,1
верить,0
сработать,0
возвести,0
ворваться,0
желать,0
удаваться,1
охранять,1
приниматься,0
падать,0
понадобиться,0
противоречить,1
поздравить,1
нуждаться,0
пожелать,0
разобраться,0
придумать,0
придерживаться,0
объединять,0
поблагодарить,1
выручить,1
сломать,0
уменьшиться,0
образовать,0
развиваться,0
допускать,0
бояться,1
поразить,1
уличить,1
соблюдать,0
угнать,1
продолжиться,0
разгромить,0
проанализировать,0
стараться,0
снижаться,0
учредить,0
тратить,0
инвестировать,0
бить,1
уменьшить,0
разбить,0
критиковать,0
распорядиться,0
пояснять,0
преследовать,0
захотеть,0
возобновиться,0
взломать,1
отвергать,0
воевать,0
дисквалифицировать,0
предпочитать,0
исследовать,0
хватать,0
убивать,1
подорвать,1
понравиться,0
настроить,0
заставлять,0
курировать,0
обойти,0
